cast_member,count
Anupam Kher,42
Shah Rukh Khan,35
Naseeruddin Shah,30
Om Puri,30
Takahiro Sakurai,29
Akshay Kumar,29
Amitabh Bachchan,27
Paresh Rawal,27
Boman Irani,27
Yuki Kaji,27
Kareena Kapoor,25
Andrea Libman,24
Vincent Tong,24
John Cleese,24
Tara Strong,22
Ashleigh Ball,22
Ajay Devgn,21
Nawazuddin Siddiqui,21
Nicolas Cage,20
Kay Kay Menon,20
Samuel L. Jackson,20
Salman Khan,20
Daisuke Ono,20
Adam Sandler,19
Gulshan Grover,19
Fred Tatasciore,19
David Attenborough,18
James Franco,18
Kana Hanazawa,18
Junichi Suwabe,18
