type,count,pct
Documentaries,334,4.29
Stand-Up Comedy,321,4.12
"Dramas, International Movies",320,4.11
"Comedies, Dramas, International Movies",243,3.12
"Dramas, Independent Movies, International Movies",215,2.76
Kids' TV,205,2.63
Children & Family Movies,177,2.27
"Documentaries, International Movies",172,2.21
"Children & Family Movies, Comedies",169,2.17
"Comedies, International Movies",161,2.07
"Dramas, International Movies, Romantic Movies",153,1.96
"Comedies, International Movies, Romantic Movies",139,1.78
Dramas,117,1.5
"Action & Adventure, Dramas, International Movies",117,1.5
"International TV Shows, TV Dramas",111,1.43
"Dramas, International Movies, Thrillers",109,1.4
"Crime TV Shows, International TV Shows, TV Dramas",106,1.36
"Comedies, Dramas, Independent Movies",102,1.31
Action & Adventure,99,1.27
Comedies,97,1.25
"Dramas, Independent Movies",94,1.21
"Kids' TV, TV Comedies",90,1.16
"Action & Adventure, International Movies",88,1.13
"International TV Shows, Romantic TV Shows, TV Dramas",86,1.1
Reality TV,83,1.07
"International TV Shows, Romantic TV Shows, TV Comedies",79,1.01
"Anime Series, International TV Shows",75,0.96
Docuseries,74,0.95
"Documentaries, Music & Musicals",73,0.94
"Dramas, Thrillers",69,0.89
"Action & Adventure, Comedies, International Movies",67,0.86
"International TV Shows, Korean TV Shows, Romantic TV Shows",65,0.83
"Comedies, Romantic Movies",64,0.82
TV Comedies,62,0.8
"International Movies, Thrillers",59,0.76
"Documentaries, Sports Movies",57,0.73
"Horror Movies, International Movies",56,0.72
Movies,56,0.72
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",56,0.72
"Comedies, International Movies, Music & Musicals",53,0.68
"Dramas, International Movies, Music & Musicals",52,0.67
"Action & Adventure, Sci-Fi & Fantasy",52,0.67
"Horror Movies, Thrillers",50,0.64
Thrillers,49,0.63
"Crime TV Shows, Docuseries",45,0.58
Horror Movies,43,0.55
"Action & Adventure, Comedies",39,0.5
"Documentaries, International Movies, Sports Movies",38,0.49
"Dramas, Romantic Movies",38,0.49
"Horror Movies, International Movies, Thrillers",36,0.46
"Docuseries, Science & Nature TV",34,0.44
TV Dramas,34,0.44
"International TV Shows, TV Comedies, TV Dramas",33,0.42
"International TV Shows, Reality TV",33,0.42
"Documentaries, International Movies, Music & Musicals",32,0.41
"British TV Shows, Docuseries, International TV Shows",29,0.37
"Action & Adventure, Anime Features, International Movies",28,0.36
"Dramas, Independent Movies, Thrillers",28,0.36
"TV Comedies, TV Dramas",28,0.36
"International TV Shows, TV Comedies",28,0.36
"Docuseries, International TV Shows",27,0.35
"Action & Adventure, Dramas",27,0.35
"Stand-Up Comedy & Talk Shows, TV Comedies",26,0.33
"British TV Shows, International TV Shows, Reality TV",25,0.32
"Comedies, Dramas",25,0.32
"Children & Family Movies, Dramas",25,0.32
"Dramas, International Movies, Sports Movies",25,0.32
"British TV Shows, Docuseries, Science & Nature TV",25,0.32
"Action & Adventure, Comedies, Dramas",24,0.31
"International TV Shows, TV Dramas, TV Mysteries",23,0.3
"Crime TV Shows, Docuseries, International TV Shows",23,0.3
"Comedies, Independent Movies",23,0.3
"International TV Shows, Spanish-Language TV Shows, TV Dramas",21,0.27
"Documentaries, LGBTQ Movies",20,0.26
"Crime TV Shows, International TV Shows, Korean TV Shows",20,0.26
"Dramas, Independent Movies, Romantic Movies",20,0.26
"British TV Shows, Crime TV Shows, International TV Shows",20,0.26
"Anime Series, Kids' TV",20,0.26
"Kids' TV, Korean TV Shows",19,0.24
"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",19,0.24
"British TV Shows, Crime TV Shows, Docuseries",18,0.23
"Classic Movies, Dramas, International Movies",18,0.23
"International TV Shows, Korean TV Shows, TV Dramas",18,0.23
"Comedies, Independent Movies, International Movies",17,0.22
"Crime TV Shows, TV Dramas, TV Mysteries",17,0.22
"International TV Shows, TV Action & Adventure, TV Dramas",17,0.22
"Dramas, Sports Movies",17,0.22
"British TV Shows, Kids' TV",17,0.22
"Horror Movies, Independent Movies",17,0.22
"International Movies, Romantic Movies",17,0.22
"Dramas, Faith & Spirituality",17,0.22
"Horror Movies, Independent Movies, Thrillers",16,0.21
"Action & Adventure, International Movies, Sci-Fi & Fantasy",16,0.21
"British TV Shows, International TV Shows, TV Comedies",15,0.19
"Children & Family Movies, Music & Musicals",15,0.19
"Crime TV Shows, TV Dramas",15,0.19
"Crime TV Shows, International TV Shows, TV Action & Adventure",15,0.19
"International TV Shows, TV Dramas, TV Horror",15,0.19
"Dramas, Independent Movies, LGBTQ Movies",15,0.19
"International TV Shows, Spanish-Language TV Shows, TV Comedies",14,0.18
"Comedies, Dramas, Romantic Movies",14,0.18
"Docuseries, Reality TV",14,0.18
"Comedies, Horror Movies, International Movies",14,0.18
"British TV Shows, TV Comedies",13,0.17
"Docuseries, International TV Shows, Science & Nature TV",13,0.17
"British TV Shows, Docuseries",12,0.15
"International TV Shows, TV Dramas, Teen TV Shows",12,0.15
"Dramas, International Movies, Sci-Fi & Fantasy",12,0.15
TV Shows,12,0.15
"Comedies, Horror Movies",11,0.14
"Independent Movies, Thrillers",11,0.14
"Children & Family Movies, Comedies, Music & Musicals",11,0.14
"Dramas, International Movies, LGBTQ Movies",11,0.14
"Action & Adventure, Dramas, Independent Movies",11,0.14
"Crime TV Shows, TV Action & Adventure, TV Dramas",11,0.14
"Classic Movies, Documentaries",11,0.14
"Romantic TV Shows, TV Comedies, TV Dramas",11,0.14
"Children & Family Movies, Comedies, Dramas",11,0.14
"British TV Shows, International TV Shows, TV Dramas",10,0.13
"Children & Family Movies, Dramas, Romantic Movies",10,0.13
"Action & Adventure, International Movies, Music & Musicals",10,0.13
"Comedies, Cult Movies",10,0.13
"Classic Movies, Dramas",10,0.13
"Sci-Fi & Fantasy, Thrillers",10,0.13
Music & Musicals,10,0.13
"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",10,0.13
"Anime Series, Crime TV Shows, International TV Shows",9,0.12
"International TV Shows, Korean TV Shows, TV Comedies",9,0.12
"Crime TV Shows, TV Comedies, TV Dramas",9,0.12
"International TV Shows, TV Horror, TV Mysteries",9,0.12
"Crime TV Shows, International TV Shows, TV Comedies",9,0.12
"Horror Movies, Independent Movies, International Movies",9,0.12
"British TV Shows, Reality TV",9,0.12
"International Movies, Sci-Fi & Fantasy, Thrillers",9,0.12
"Dramas, Faith & Spirituality, International Movies",9,0.12
"Children & Family Movies, Dramas, Sports Movies",9,0.12
"International TV Shows, TV Dramas, TV Thrillers",9,0.12
"Comedies, Independent Movies, Romantic Movies",9,0.12
"Children & Family Movies, Comedies, Sci-Fi & Fantasy",8,0.1
"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",8,0.1
"Comedies, Sports Movies",8,0.1
Anime Series,8,0.1
"Dramas, Independent Movies, Sports Movies",8,0.1
"Reality TV, Romantic TV Shows",8,0.1
"Children & Family Movies, Comedies, Romantic Movies",8,0.1
"Children & Family Movies, Dramas, International Movies",8,0.1
"Anime Series, International TV Shows, Teen TV Shows",8,0.1
"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",8,0.1
"International TV Shows, Reality TV, Spanish-Language TV Shows",8,0.1
"British TV Shows, Kids' TV, TV Comedies",7,0.09
"Children & Family Movies, Sci-Fi & Fantasy",7,0.09
"Anime Series, International TV Shows, Romantic TV Shows",7,0.09
"Action & Adventure, Comedies, Sci-Fi & Fantasy",7,0.09
"Romantic TV Shows, TV Dramas",7,0.09
"TV Action & Adventure, TV Sci-Fi & Fantasy",7,0.09
"Children & Family Movies, Documentaries",7,0.09
"Crime TV Shows, TV Dramas, TV Thrillers",7,0.09
"TV Comedies, TV Dramas, Teen TV Shows",7,0.09
"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",7,0.09
"Anime Features, Children & Family Movies",7,0.09
"TV Dramas, TV Horror, TV Mysteries",7,0.09
"Action & Adventure, Comedies, Independent Movies",7,0.09
"Action & Adventure, Independent Movies",7,0.09
"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",7,0.09
"Dramas, Independent Movies, Music & Musicals",7,0.09
"Comedies, International Movies, LGBTQ Movies",7,0.09
"Action & Adventure, Classic Movies, Dramas",7,0.09
"International Movies, Music & Musicals",7,0.09
"Documentaries, Faith & Spirituality",7,0.09
"Kids' TV, TV Action & Adventure, TV Comedies",7,0.09
"Dramas, LGBTQ Movies",7,0.09
"Comedies, International Movies, Sports Movies",6,0.08
"Documentaries, International Movies, LGBTQ Movies",6,0.08
"Comedies, International Movies, Sci-Fi & Fantasy",6,0.08
"Dramas, Independent Movies, Sci-Fi & Fantasy",6,0.08
"Comedies, Cult Movies, Dramas",6,0.08
"Classic Movies, Dramas, Independent Movies",6,0.08
"International Movies, Music & Musicals, Romantic Movies",6,0.08
"Crime TV Shows, International TV Shows, Romantic TV Shows",6,0.08
"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy",6,0.08
"Dramas, Sci-Fi & Fantasy",6,0.08
"Action & Adventure, Documentaries, International Movies",6,0.08
"International TV Shows, Reality TV, Romantic TV Shows",6,0.08
"Docuseries, International TV Shows, Spanish-Language TV Shows",6,0.08
"International TV Shows, Korean TV Shows, Reality TV",6,0.08
Stand-Up Comedy & Talk Shows,6,0.08
"Action & Adventure, International Movies, Romantic Movies",6,0.08
"Horror Movies, Sci-Fi & Fantasy, Thrillers",6,0.08
"Music & Musicals, Stand-Up Comedy",6,0.08
"British TV Shows, International TV Shows, Romantic TV Shows",6,0.08
"Comedies, International Movies, Thrillers",6,0.08
"Action & Adventure, Comedies, Romantic Movies",5,0.06
"Action & Adventure, Dramas, Sci-Fi & Fantasy",5,0.06
"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",5,0.06
"Comedies, Horror Movies, Independent Movies",5,0.06
"Children & Family Movies, Comedies, International Movies",5,0.06
"Kids' TV, TV Thrillers",5,0.06
"TV Dramas, Teen TV Shows",5,0.06
"Children & Family Movies, Dramas, Faith & Spirituality",5,0.06
"TV Dramas, TV Thrillers",5,0.06
"International TV Shows, TV Action & Adventure, TV Comedies",5,0.06
"Classic & Cult TV, TV Comedies",5,0.06
"International TV Shows, Korean TV Shows, TV Action & Adventure",5,0.06
"TV Comedies, Teen TV Shows",5,0.06
"Docuseries, International TV Shows, Reality TV",5,0.06
"Dramas, Sci-Fi & Fantasy, Thrillers",5,0.06
"TV Action & Adventure, TV Dramas",5,0.06
"Action & Adventure, Anime Features, Sci-Fi & Fantasy",5,0.06
"Independent Movies, International Movies, Thrillers",5,0.06
"Dramas, Music & Musicals",5,0.06
"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",4,0.05
"Action & Adventure, Cult Movies, International Movies",4,0.05
"Dramas, Romantic Movies, Sci-Fi & Fantasy",4,0.05
"International TV Shows, Romantic TV Shows, Teen TV Shows",4,0.05
"Cult Movies, Horror Movies",4,0.05
"Romantic TV Shows, TV Comedies",4,0.05
